Study,model_number,subgroup,model_type,Process A,Process B,$n$,Cov(Levels),ab_tau_00_est,ab_tau_00_se,ab_tau_00_pval,Corr(Levels)Est,er_tau_00_est,er_tau_00_se,er_tau_00_pval,CI(Levels)Est,er_tau_00_ci95lo,er_tau_00_ci95hi,Corr(Levels)Comp,cr_levels_est,cr_levels_ci95_lo,cr_levels_ci95_hi,Cov(Slopes),Corr(Slopes)Est,er_tau_11_est,er_tau_11_se,CI(Slopes)Est,er_tau_11_ci95lo,er_tau_11_ci95hi,Corr(Slopes)Comp,cr_slopes_est,cr_slopes_ci95_lo,cr_slopes_ci95_hi,Cov(Residuals),ab_sigma_00_est,ab_sigma_00_se,ab_sigma_00_pval,Corr(Resid)Est,er_sigma_00_est,er_sigma_00_se,er_sigma_00_pval,CI(Resid)Est,er_sigma_00_ci95lo,er_sigma_00_ci95hi,Corr(Residuals)Comp,cr_resid_est,cr_resid_ci95_lo,cr_resid_ci95_hi
lasa,b1,male,aehplus,grip,gait,800,"-5.54(1.37), $p$<.01 ***",-5.543,1.369,0.0,"-.35( .08), $p$<.01 ***",-0.352,0.082,0.0,"(-.51,-.19)",-0.51272,-0.19127999999999998,"-.35(-.41,-.29)",-0.35177395342854284,-0.41106514615484396,-0.28951911401461067,"-.10( .04), $p$=.01 **","-.76( .19), $p$<.01 ***",-0.756,0.193,"(-1.13,-.38)",-1.13428,-0.37772,"-.76(-.78,-.72)",-0.7553673595733043,-0.783651372018349,-0.7239579390328965,"-.49( .55), $p$=.37  ",-0.491,0.552,0.373,"-.04( .04), $p$=.37  ",-0.035,0.039,0.371,"(-.11, .04)",-0.11144,0.04143999999999999,"-.03(-.10, .03)",-0.03463130780024019,-0.1036965500951877,0.03476630627329627
map,b1,female,aehplus,gait,grip,931," .41( .07), $p$<.01 ***",0.414,0.069,0.0," .30( .05), $p$<.01 ***",0.303,0.049,0.0,"( .21, .40)",0.20695999999999998,0.39904," .30( .24, .36)",0.30110723402481354,0.241529584347393,0.3584234271311928,"-.01( .01), $p$=.17  ","-.46( .31), $p$=.15  ",-0.455,0.313,"(-1.07, .16)",-1.06848,0.15848,"-.37(-.42,-.31)",-0.3663716527236559,-0.4207184880541782,-0.3094045424296482,"-.00( .02), $p$=.81  ",-0.004,0.018,0.814,"-.01( .03), $p$=.81  ",-0.007,0.03,0.814,"(-.07, .05)",-0.0658,0.0518,"-.01(-.07, .06)",-0.0067286882223617514,-0.0709483552606196,0.05754652978916351
map,b1,male,aehplus,gait,grip,309," .60( .17), $p$<.01 ***",0.599,0.168,0.0," .30( .08), $p$<.01 ***",0.305,0.081,0.0,"( .15, .46)",0.14623999999999998,0.46376," .30( .20, .40)",0.30428288148460647,0.19947820198287075,0.4022047862037353," .01( .01), $p$=.25  "," .40( .34), $p$=.24  ",0.398,0.34,"(-.27,1.06)",-0.26839999999999997,1.0644,---,Inf,NaN,NaN," .00( .05), $p$=.92  ",0.005,0.052,0.919," .01( .06), $p$=.92  ",0.006,0.06,0.919,"(-.11, .12)",-0.11159999999999999,0.1236," .01(-.11, .12)",0.005783149319662402,-0.10586232857907817,0.1172846377499441
nuage,b1,female,aehplus,grip,gait,934,"-1.75( .40), $p$<.01 ***",-1.754,0.396,0.0,"-.18( .04), $p$<.01 ***",-0.184,0.042,0.0,"(-.27,-.10)",-0.26632,-0.10167999999999999,"-.18(-.25,-.12)",-0.18399784209192147,-0.2452501975156219,-0.12128230432498795,"-.04( .04), $p$=.37  ","-.10( .12), $p$=.37  ",-0.104,0.116,"(-.33, .12)",-0.33136,0.12336000000000001,"-.10(-.17,-.04)",-0.10327623662831012,-0.1663214024500791,-0.03939016876561957,"-.13( .09), $p$=.15  ",-0.134,0.093,0.152,"-.04( .03), $p$=.15  ",-0.041,0.029,0.149,"(-.10, .02)",-0.09784000000000001,0.01584,"-.04(-.11, .02)",-0.04151388161045618,-0.10538027712359835,0.02269357352841432
nuage,b1,male,aehplus,grip,gait,847,"-1.87( .73), $p$=.01 **",-1.868,0.727,0.01,"-.20( .06), $p$<.01 ***",-0.2,0.056,0.0,"(-.31,-.09)",-0.30976000000000004,-0.09024000000000001,"-.20(-.26,-.13)",-0.20019281454760884,-0.2639952789060175,-0.13464601021348768,"-.07( .04), $p$=.11  ","-.24( .28), $p$=.39  ",-0.245,0.283,"(-.80, .31)",-0.79968,0.30967999999999996,"-.25(-.31,-.18)",-0.24517153718418083,-0.3074563505035588,-0.18079486050384988,"-.23( .10), $p$=.02 *",-0.23,0.099,0.02,"-.05( .02), $p$=.04 *",-0.053,0.025,0.036,"(-.10,-.00)",-0.10200000000000001,-0.003999999999999997,"-.05(-.12, .01)",-0.05282431976359452,-0.11976073882585794,0.01459017117522518
nuage,b1,female,aehplus,grip,tug,934,"-7.37(1.16), $p$<.01 ***",-7.368,1.161,0.0,"-.27( .04), $p$<.01 ***",-0.272,0.042,0.0,"(-.35,-.19)",-0.35432,-0.18968000000000002,"-.27(-.33,-.21)",-0.27161782258841866,-0.3300148397689145,-0.21114976276594674,"-.17( .12), $p$=.14  ","-.26( .17), $p$=.13  ",-0.26,0.17,"(-.59, .07)",-0.5932,0.07319999999999999,"-.26(-.32,-.20)",-0.2601742043932979,-0.3189973521610327,-0.1993542855701048,"-.10( .24), $p$=.67  ",-0.101,0.238,0.672,"-.01( .03), $p$=.67  ",-0.012,0.029,0.671,"(-.07, .04)",-0.06884,0.044840000000000005,"-.01(-.08, .05)",-0.012298299123408962,-0.07638506134097507,0.05188965892715287
nuage,b1,male,aehplus,grip,tug,847,"-5.71(1.35), $p$<.01 ***",-5.71,1.35,0.0,"-.25( .05), $p$<.01 ***",-0.251,0.049,0.0,"(-.35,-.15)",-0.34704,-0.15496,"-.25(-.31,-.19)",-0.25123244863487104,-0.31329295733335755,-0.18703519596835153,"-.20( .10), $p$=.05 .","-.24( .12), $p$=.05 *",-0.238,0.119,"(-.47,-.00)",-0.47124,-0.004760000000000014,"-.24(-.30,-.17)",-0.2385101233950029,-0.3010360542842444,-0.17394221961931264,"-.36( .20), $p$=.07 .",-0.359,0.196,0.067,"-.04( .02), $p$=.05 .",-0.042,0.022,0.052,"(-.09, .00)",-0.08512,0.001119999999999996,"-.04(-.11, .03)",-0.042075388002139065,-0.10912865748233438,0.025359060881395404
octo,b1,female,aehplus,grip,gait,270,"-2.08( .95), $p$=.03 *",-2.079,0.951,0.029,"-.33( .14), $p$=.02 *",-0.331,0.141,0.019,"(-.61,-.05)",-0.60736,-0.05464000000000002,"-.33(-.43,-.22)",-0.33074011851780744,-0.4330193663894965,-0.2200524255538251,"-.01( .05), $p$=.91  ","-.04( .40), $p$=.91  ",-0.043,0.398,"(-.82, .74)",-0.82308,0.73708,"-.05(-.16, .07)",-0.04554875186742769,-0.1640327265513238,0.07423076214018695,"-.17( .25), $p$=.50  ",-0.171,0.253,0.5,"-.04( .07), $p$=.50  ",-0.045,0.067,0.498,"(-.18, .09)",-0.17631999999999998,0.08632,"-.05(-.16, .07)",-0.045346765198016614,-0.1638357613284277,0.07443204855821062
octo,b1,male,aehplus,grip,gait,138,"-1.57( .98), $p$=.11  ",-1.566,0.983,0.111,"-.35( .19), $p$=.07 .",-0.346,0.192,0.072,"(-.72, .03)",-0.72232,0.030320000000000014,"-.35(-.49,-.19)",-0.34632565069431737,-0.4853424157599454,-0.19022993193116355,"-.04( .04), $p$=.22  ","-.70( .53), $p$=.19  ",-0.7,0.531,"(-1.74, .34)",-1.74076,0.3407600000000002,"-.70(-.78,-.60)",-0.6993786061802352,-0.7758143685608146,-0.6027125075604386,"-.39( .25), $p$=.13  ",-0.386,0.254,0.129,"-.13( .08), $p$=.11  ",-0.126,0.079,0.11,"(-.28, .03)",-0.28084,0.028840000000000005,"-.13(-.29, .04)",-0.12645087149582945,-0.2874810745314348,0.041531549995788265
satsa,b1,female,aehplus,gait,grip,366,"-1.06(2.67), $p$=.69  ",-1.058,2.671,0.692,"-.16( .42), $p$=.69  ",-0.165,0.421,0.695,"(-.99, .66)",-0.99016,0.66016,"-.16(-.26,-.06)",-0.16477246784485214,-0.2628429104596515,-0.06333212063291946,"-.00( .02), $p$=.96  ","-.03( .59), $p$=.96  ",-0.031,0.587,"(-1.18,1.12)",-1.18152,1.11952,"-.03(-.13, .08)",-0.026499947000159004,-0.12866051905172285,0.07621717770826658,"-.08( .71), $p$=.91  ",-0.077,0.709,0.914,"-.01( .05), $p$=.91  ",-0.006,0.051,0.914,"(-.11, .09)",-0.10596,0.09395999999999999,"-.01(-.11, .10)",-0.005554527034662624,-0.10800311045724262,0.09701079027995285
satsa,b1,male,aehplus,gait,grip,265,"-2.81(2.50), $p$=.26  ",-2.814,2.503,0.261,"-.51( .49), $p$=.30  ",-0.508,0.487,0.296,"(-1.46, .45)",-1.46252,0.4465199999999999,"-.51(-.59,-.41)",-0.5085206084861887,-0.5927008810219412,-0.41335045204162524,"-.02( .02), $p$=.39  ","-.42( .46), $p$=.37  ",-0.416,0.461,"(-1.32, .49)",-1.31956,0.48756000000000005,"-.41(-.51,-.31)",-0.4147575310031267,-0.5097785958848168,-0.3097389409982925,"-.32( .97), $p$=.74  ",-0.317,0.969,0.744,"-.02( .07), $p$=.74  ",-0.024,0.074,0.743,"(-.17, .12)",-0.16904,0.12104000000000001,"-.02(-.14, .10)",-0.02421768867549033,-0.14429524145785455,0.09656273547618016
