domain,study,model_number,subgroup,model_type,physical,cognitive,$n$,Cov(Levels),Corr(Levels)Est,CI(Levels)Est,Corr(Levels)Comp,Cov(Slopes),Corr(Slopes)Est,CI(Slopes)Est,Corr(Slopes)Comp,Cov(Residuals),Corr(Residuals)Est,CI(Residuals)Est,Corr(Residuals)Comp
Learning & Memory,octo,b1,male,aehplus,pef,Objects Recognized,137,"40.64(25.66), $p$=.11  "," .51( .17), $p$<.01 **","( .18, .84)"," .51( .38, .63)"," .22( .58), $p$=.70  "," .28( .60), $p$=.65  ","(-.90,1.45)"," .28( .12, .43)","2.71(3.72), $p$=.47  "," .04( .06), $p$=.46  ","(-.07, .15)"," .04(-.13, .21)"
Learning & Memory,octo,b1,female,aehplus,pef,Prose Immediate,268,"27.30(17.51), $p$=.12  "," .15( .09), $p$=.11  ","(-.04, .33)"," .15( .03, .26)","-.09( .56), $p$=.87  ","-.06( .37), $p$=.87  ","(-.78, .66)","-.06(-.18, .06)","7.16(5.99), $p$=.23  "," .07( .06), $p$=.24  ","(-.05, .20)"," .07(-.05, .19)"
Learning & Memory,octo,b1,male,aehplus,pef,Prose Immediate,136,"63.89(39.91), $p$=.11  "," .22( .13), $p$=.10 .","(-.04, .48)"," .22( .05, .37)","-.17( .42), $p$=.69  ","-.26( .53), $p$=.62  ","(-1.29, .77)","-.25(-.40,-.09)","11.87(16.64), $p$=.48  "," .10( .14), $p$=.47  ","(-.18, .38)"," .10(-.07, .26)"
Learning & Memory,elsa,b1,female,aehplus,fev,Word List Delayed,3511," .02( .02), $p$=.25  "," .05( .04), $p$=.25  ","(-.03, .13)"," .05( .01, .08)"," .00( .00), $p$=.63  ","-.43(1.05), $p$=.68  ","(-2.49,1.64)",---," .01( .01), $p$=.57  "," .01( .03), $p$=.56  ","(-.04, .07)"," .02(-.02, .05)"
Learning & Memory,elsa,b1,male,aehplus,fev,Word List Delayed,3091," .04( .03), $p$=.16  "," .06( .04), $p$=.16  ","(-.02, .13)"," .06( .02, .09)"," .00( .00), $p$=.54  ","-.22( .39), $p$=.58  ","(-.99, .55)"," .00(-.04, .04)"," .02( .01), $p$=.27  "," .03( .03), $p$=.27  ","(-.02, .08)"," .03(-.01, .06)"
Learning & Memory,hrs,b1,female,aehplus,pef,Word List Delayed,4611,"22.08(2.27), $p$<.01 ***"," .28( .03), $p$<.01 ***","( .23, .33)"," .28( .25, .31)"," .10( .05), $p$=.04 *"," .69( .50), $p$=.17  ","(-.30,1.68)"," .70( .69, .72)","2.00(1.03), $p$=.05 ."," .04( .02), $p$=.05 .","(-.00, .07)"," .04( .01, .07)"
Learning & Memory,hrs,b1,male,aehplus,pef,Word List Delayed,3288,"30.33(3.72), $p$<.01 ***"," .27( .03), $p$<.01 ***","( .21, .34)"," .27( .24, .30)"," .15( .08), $p$=.07 ."," .70( .54), $p$=.19  ","(-.35,1.76)"," .74( .72, .75)","1.95(1.80), $p$=.28  "," .03( .02), $p$=.28  ","(-.02, .07)"," .03(-.01, .06)"
Learning & Memory,map,b1,female,aehplus,fev,Word List Delayed,935," .02( .02), $p$=.41  "," .04( .05), $p$=.41  ","(-.05, .13)"," .04(-.03, .10)","-.00( .00), $p$=.29  ","-.58( .84), $p$=.49  ","(-2.23,1.07)",---," .00( .01), $p$=.53  "," .02( .03), $p$=.53  ","(-.04, .07)"," .01(-.05, .08)"
Learning & Memory,map,b1,male,aehplus,fev,Word List Delayed,321," .08( .07), $p$=.25  "," .10( .08), $p$=.25  ","(-.07, .26)"," .09(-.02, .20)"," .00( .00), $p$=.43  "," .69(1.04), $p$=.50  ","(-1.34,2.72)"," .57( .49, .64)"," .00( .01), $p$=.92  "," .00( .05), $p$=.92  ","(-.09, .10)"," .00(-.11, .11)"
Learning & Memory,nas,b1,male,aehplus,fev,Word List Delayed,1131," .57( .32), $p$=.07 ."," .08( .05), $p$=.07 .","(-.01, .17)"," .08( .03, .14)","-.00( .00), $p$=.77  ","-.03( .12), $p$=.77  ","(-.26, .19)","-.06(-.12,-.01)"," .04( .05), $p$=.50  "," .02( .03), $p$=.50  ","(-.04, .08)"," .02(-.04, .08)"
