process_b_domain,study_name,model_number,subgroup,model_type,process_a,process_b,subject_count,er_tau_00_est,er_tau_00_se,er_tau_00_pval,er_tau_00_ci95lo,er_tau_00_ci95hi,er_tau_11_est,er_tau_11_se,er_tau_11_pval,er_tau_11_ci95lo,er_tau_11_ci95hi,er_sigma_00_est,er_sigma_00_se,er_sigma_00_pval,er_sigma_00_ci95lo,er_sigma_00_ci95hi
semantic memory,map,b1,male,aehplus,fev,nart,321,0.109,0.06,0.07,-0.008599999999999997,0.2266,-0.015,0.593,0.979,-1.1772799999999999,1.14728,-0.02,0.051,0.701,-0.11996,0.07995999999999999
semantic memory,octo,b1,male,aehplus,pef,synonyms,132,0.113,0.128,0.379,-0.13788,0.36388,0.104,0.477,0.827,-0.83092,1.03892,0.046,0.099,0.641,-0.14804,0.24004000000000003
semantic memory,satsa,b1,male,aehplus,fev,synonyms,299,0.127,0.084,0.129,-0.03764000000000001,0.29164,0.099,0.413,0.81,-0.71048,0.90848,0.044,0.046,0.337,-0.04615999999999999,0.13416
semantic memory,eas,b1,male,aehplus,pef,waisvocab,324,-0.015,0.132,0.912,-0.27372,0.24372,-0.583,0.725,0.421,-2.004,0.8380000000000001,-0.016,0.069,0.812,-0.15123999999999999,0.11924
short-term memory,map,b1,male,aehplus,fev,bstory_im,321,0.161,0.108,0.137,-0.05068,0.37268,0.805,1.122,0.473,-1.39412,3.0041200000000003,-0.049,0.047,0.294,-0.14112,0.04311999999999999
short-term memory,eas,b1,male,aehplus,pef,digit_tot,324,0.012,0.115,0.915,-0.2134,0.23740000000000003,0.263,0.549,0.632,-0.8130400000000001,1.3390400000000002,0.071,0.065,0.279,-0.05640000000000002,0.19840000000000002
short-term memory,satsa,b1,male,aehplus,fev,fig_mem,298,0.226,0.087,0.01,0.05548000000000003,0.39652,0.051,0.375,0.892,-0.6839999999999999,0.786,0.01,0.045,0.824,-0.0782,0.0982
short-term memory,map,b1,male,aehplus,fev,logic_im,321,0.109,0.073,0.139,-0.034079999999999985,0.25207999999999997,0.121,1.046,0.908,-1.92916,2.17116,-0.012,0.044,0.781,-0.09824,0.07424
short-term memory,octo,b1,male,aehplus,pef,prose_im,136,0.22,0.133,0.098,-0.04068000000000002,0.48068,-0.259,0.527,0.624,-1.2919200000000002,0.77392,0.101,0.141,0.472,-0.17536,0.37736000000000003
short-term memory,eas,b1,male,aehplus,pef,word_im,324,0.07,0.123,0.569,-0.17107999999999998,0.31108,0.378,0.424,0.373,-0.45304,1.20904,0.031,0.076,0.685,-0.11795999999999998,0.17995999999999998
short-term memory,elsa,b1,male,aehplus,fev,word_im,3091,0.056,0.039,0.148,-0.020439999999999993,0.13244,-0.112,0.18,0.534,-0.4648,0.24080000000000001,0.046,0.024,0.059,-0.0010399999999999993,0.09304
short-term memory,hrs,b1,male,aehplus,pef,word_im,3288,0.256,0.032,0.0,0.19328,0.31872,0.372,0.588,0.527,-0.78048,1.52448,0.035,0.023,0.117,-0.010079999999999992,0.08008
short-term memory,lasa,b1,male,aehplus,pef,word_im,800,0.104,0.05,0.037,0.0059999999999999915,0.202,0.111,0.445,0.803,-0.7612,0.9832,0.102,0.027,0.0,0.04907999999999999,0.15492
short-term memory,map,b1,male,aehplus,fev,word_im,321,0.047,0.081,0.561,-0.11176000000000001,0.20576,0.538,0.972,0.58,-1.36712,2.44312,0.098,0.049,0.043,0.0019600000000000034,0.19404
short-term memory,nas,b1,male,aehplus,fev,word_im,1131,0.107,0.049,0.031,0.010959999999999998,0.20304,0.153,0.178,0.39,-0.19587999999999997,0.50188,-0.034,0.029,0.229,-0.09084,0.02284
verbal comprehension,map,b1,male,aehplus,fev,ideas,321,-0.018,0.078,0.816,-0.17087999999999998,0.13488,-0.363,0.384,0.345,-1.11564,0.38964,0.043,0.053,0.418,-0.060880000000000004,0.14688
visual discrimination,map,b1,male,aehplus,fev,line,321,0.155,0.076,0.041,0.006040000000000018,0.30396,0.391,0.736,0.596,-1.0515599999999998,1.8335599999999999,-0.018,0.043,0.677,-0.10228,0.06627999999999999
working memory,map,b1,male,aehplus,fev,digit_b,321,0.163,0.073,0.026,0.01992000000000002,0.30608,-0.429,0.983,0.663,-2.35568,1.49768,-0.012,0.042,0.77,-0.09432,0.07032000000000001
working memory,nas,b1,male,aehplus,fev,digit_b,1131,0.035,0.054,0.516,-0.07084,0.14084000000000002,0.508,0.672,0.45,-0.8091200000000001,1.82512,0.033,0.029,0.261,-0.02384,0.08984
working memory,octo,b1,male,aehplus,pef,digit_b,138,0.313,0.13,0.016,0.058199999999999974,0.5678000000000001,0.461,0.401,0.25,-0.32495999999999997,1.24696,-0.096,0.079,0.227,-0.25084,0.05884
working memory,satsa,b1,male,aehplus,fev,digit_b,299,0.2,0.09,0.026,0.02360000000000001,0.3764,-0.501,0.692,0.469,-1.85732,0.85532,-0.031,0.039,0.423,-0.10744,0.045439999999999994
working memory,nas,b1,male,aehplus,fev,digit_b_tot,1131,0.027,0.051,0.593,-0.07296,0.12696,0.103,0.302,0.733,-0.48892,0.69492,0.039,0.029,0.186,-0.01784,0.09584000000000001
working memory,map,b1,male,aehplus,fev,digit_o,321,-0.025,0.077,0.742,-0.17592,0.12592,0.09,1.676,0.957,-3.19496,3.3749599999999997,0.004,0.054,0.947,-0.10184,0.10984000000000001
