domain,study,model_number,subgroup,model_type,physical,cognitive,$n$,Cov(Levels),Corr(Levels)Est,CI(Levels)Est,Corr(Levels)Comp,Cov(Slopes),Corr(Slopes)Est,CI(Slopes)Est,Corr(Slopes)Comp,Cov(Residuals),Corr(Residuals)Est,CI(Residuals)Est,Corr(Residuals)Comp
fluid reasoning,eas,b1,male,aehplus,pef,block,324,"233.41(84.93), $p$=.01 **"," .31( .11), $p$<.01 **","( .09, .53)"," .31( .21, .40)","5.16(5.36), $p$=.34  "," .58( .72), $p$=.42  ","(-.84,2.00)"," .58( .50, .65)","-32.02(19.98), $p$=.11  ","-.11( .07), $p$=.11  ","(-.25, .02)","-.11(-.22,-.00)"
fluid reasoning,octo,b1,male,aehplus,pef,block,136,"158.68(61.01), $p$=.01 **"," .30( .12), $p$=.01 **","( .08, .53)"," .30( .14, .45)","1.05( .82), $p$=.20  "," .75( .18), $p$<.01 ***","( .39,1.10)"," .75( .66, .81)","19.93(11.46), $p$=.08 ."," .11( .07), $p$=.08 .","(-.02, .24)"," .11(-.06, .28)"
fluid reasoning,satsa,b1,male,aehplus,fev,block,299," .62( .25), $p$=.01 *"," .20( .08), $p$=.01 **","( .05, .35)"," .20( .09, .30)"," .00( .00), $p$=.49  "," .14( .21), $p$=.49  ","(-.27, .56)",---," .01( .05), $p$=.89  "," .01( .05), $p$=.89  ","(-.10, .11)"," .02(-.10, .13)"
fluid reasoning,nas,b1,male,aehplus,fev,fig_copy,1131,"3.30( .99), $p$<.01 ***"," .19( .06), $p$<.01 ***","( .08, .30)"," .19( .13, .25)"," .01( .01), $p$=.11  "," .52( .43), $p$=.23  ","(-.33,1.36)"," .52( .47, .56)","-.60( .20), $p$<.01 **","-.09( .03), $p$<.01 **","(-.15,-.04)","-.09(-.15,-.04)"
fluid reasoning,octo,b1,male,aehplus,pef,fig_logic,133,"67.17(33.87), $p$=.05 *"," .29( .13), $p$=.03 *","( .03, .55)"," .29( .12, .44)","1.08( .60), $p$=.07 ."," .79( .14), $p$<.01 ***","( .51,1.06)"," .78( .71, .84)","2.25(13.70), $p$=.87  "," .01( .08), $p$=.87  ","(-.15, .18)"," .01(-.16, .18)"
fluid reasoning,map,b1,male,aehplus,fev,matrices,308," .07( .07), $p$=.28  "," .08( .08), $p$=.28  ","(-.07, .23)"," .08(-.03, .19)"," .00( .00), $p$=.45  "," .43( .68), $p$=.52  ","(-.89,1.76)"," .41( .31, .50)","-.01( .02), $p$=.70  ","-.02( .04), $p$=.70  ","(-.10, .07)","-.02(-.13, .10)"
fluid reasoning,lasa,b1,male,aehplus,pef,raven,800,"44.79(11.81), $p$<.01 ***"," .18( .05), $p$<.01 ***","( .09, .27)"," .18( .12, .25)"," .19( .06), $p$<.01 **"," .54( .19), $p$<.01 **","( .17, .92)"," .56( .51, .60)","3.44(2.98), $p$=.25  "," .03( .03), $p$=.25  ","(-.02, .09)"," .03(-.04, .10)"
fluid reasoning,satsa,b1,male,aehplus,fev,rotate,298,"1.50( .69), $p$=.03 *"," .19( .08), $p$=.02 *","( .03, .35)"," .19( .08, .30)"," .00( .00), $p$=.73  "," .14( .38), $p$=.72  ","(-.60, .87)",---," .06( .15), $p$=.69  "," .02( .05), $p$=.69  ","(-.08, .11)"," .02(-.10, .13)"
mental status,octo,b1,male,aehplus,pef,clock,138,"31.30(18.79), $p$=.10 ."," .27( .14), $p$=.06 .","(-.01, .55)"," .27( .11, .42)","-.17( .56), $p$=.76  ","-.17( .53), $p$=.74  ","(-1.22, .87)","-.17(-.33,-.01)","3.87(10.84), $p$=.72  "," .04( .11), $p$=.72  ","(-.18, .26)"," .04(-.13, .21)"
mental status,eas,b1,male,aehplus,pef,mmse,324,"25.56(13.13), $p$=.05 ."," .31( .16), $p$=.05 *","( .00, .61)"," .31( .20, .40)"," .96( .97), $p$=.32  "," .76(1.10), $p$=.49  ","(-1.40,2.91)"," .76( .71, .80)","-2.22(2.75), $p$=.42  ","-.05( .06), $p$=.42  ","(-.16, .07)","-.05(-.16, .06)"
mental status,map,b1,male,aehplus,fev,mmse,321," .03( .06), $p$=.63  "," .04( .08), $p$=.66  ","(-.13, .20)"," .04(-.07, .15)","-.00( .01), $p$=.44  ","-.58( .79), $p$=.46  ","(-2.12, .96)","-.55(-.62,-.47)"," .00( .01), $p$=.72  "," .02( .05), $p$=.72  ","(-.08, .11)"," .02(-.09, .13)"
mental status,nas,b1,male,aehplus,fev,mmse,1131," .81( .29), $p$<.01 **"," .20( .07), $p$=.01 **","( .05, .34)"," .20( .14, .25)","-.00( .00), $p$=.61  ","-.12( .23), $p$=.61  ","(-.56, .33)","-.12(-.18,-.06)","-.05( .06), $p$=.44  ","-.02( .03), $p$=.44  ","(-.08, .03)","-.02(-.08, .04)"
mental status,octo,b1,male,aehplus,pef,mmse,140,"102.71(31.38), $p$<.01 ***"," .66( .14), $p$<.01 ***","( .40, .92)"," .66( .56, .74)"," .29( .73), $p$=.69  "," .15( .37), $p$=.69  ","(-.58, .87)"," .15(-.02, .31)","22.58(24.55), $p$=.36  "," .14( .16), $p$=.38  ","(-.18, .47)"," .14(-.02, .30)"
mental status,satsa,b1,male,aehplus,fev,mmse,299," .12( .09), $p$=.19  "," .16( .12), $p$=.18  ","(-.08, .40)"," .16( .05, .27)"," .00( .00), $p$=.28  "," .35( .30), $p$=.24  ","(-.24, .94)",---," .02( .02), $p$=.29  "," .05( .05), $p$=.28  ","(-.04, .14)"," .05(-.06, .16)"
perceptual speed,lasa,b1,male,aehplus,pef,letter,800,"79.73(21.48), $p$<.01 ***"," .16( .04), $p$<.01 ***","( .08, .24)"," .16( .09, .23)"," .16( .11), $p$=.13  "," .18( .12), $p$=.13  ","(-.05, .42)"," .18( .12, .25)","14.97(3.66), $p$<.01 ***"," .12( .03), $p$<.01 ***","( .07, .18)"," .12( .05, .19)"
perceptual speed,map,b1,male,aehplus,fev,num_comp,321," .06( .21), $p$=.77  "," .02( .07), $p$=.77  ","(-.12, .16)"," .02(-.09, .13)","-.02( .01), $p$=.13  ","-.75( .49), $p$=.13  ","(-1.72, .22)","-.89(-.91,-.86)"," .02( .03), $p$=.63  "," .02( .04), $p$=.64  ","(-.06, .11)"," .02(-.09, .13)"
perceptual speed,nas,b1,male,aehplus,fev,pat_comp,1131,"-.05( .28), $p$=.86  ","-.01( .06), $p$=.86  ","(-.13, .11)","-.01(-.07, .05)","-.00( .00), $p$=.27  ","-.25( .28), $p$=.37  ","(-.81, .30)","-.23(-.28,-.17)"," .04( .05), $p$=.44  "," .03( .03), $p$=.44  ","(-.04, .09)"," .03(-.03, .08)"
perceptual speed,octo,b1,male,aehplus,pef,psif,127,"87.96(36.10), $p$=.01 *"," .36( .12), $p$<.01 **","( .12, .60)"," .36( .19, .50)","1.14( .91), $p$=.21  "," .51( .29), $p$=.08 .","(-.06,1.08)"," .51( .37, .63)","-9.02(10.59), $p$=.39  ","-.09( .10), $p$=.39  ","(-.28, .11)","-.09(-.26, .09)"
perceptual speed,eas,b1,male,aehplus,pef,symbol,324,"444.24(125.41), $p$<.01 ***"," .40( .10), $p$<.01 ***","( .21, .59)"," .40( .30, .48)","17.97(9.06), $p$=.05 *"," .67( .32), $p$=.04 *","( .04,1.31)"," .67( .61, .73)","-43.62(22.17), $p$=.05 *","-.13( .07), $p$=.04 *","(-.27,-.00)","-.13(-.24,-.03)"
perceptual speed,map,b1,male,aehplus,fev,symbol,321," .72( .33), $p$=.03 *"," .16( .07), $p$=.02 *","( .02, .31)"," .16( .06, .27)","-.01( .02), $p$=.60  ","-.36( .81), $p$=.65  ","(-1.95,1.22)","-.31(-.41,-.21)"," .06( .04), $p$=.17  "," .06( .05), $p$=.17  ","(-.03, .15)"," .06(-.05, .17)"
perceptual speed,octo,b1,male,aehplus,pef,symbol,133,"244.57(93.20), $p$=.01 **"," .31( .11), $p$<.01 **","( .10, .52)"," .31( .15, .46)","3.13(1.47), $p$=.03 *"," .73( .14), $p$<.01 ***","( .45,1.01)"," .73( .64, .80)","-9.63(17.12), $p$=.57  ","-.04( .07), $p$=.57  ","(-.18, .10)","-.04(-.21, .13)"
perceptual speed,satsa,b1,male,aehplus,fev,symbol,299," .96( .41), $p$=.02 *"," .20( .08), $p$=.01 *","( .04, .36)"," .20( .09, .31)"," .00( .00), $p$=.81  "," .07( .27), $p$=.80  ","(-.46, .59)",---," .02( .09), $p$=.82  "," .01( .06), $p$=.82  ","(-.10, .12)"," .03(-.08, .14)"
semantic memory,eas,b1,male,aehplus,pef,bnt,324,"6.98(25.80), $p$=.79  "," .04( .14), $p$=.79  ","(-.23, .30)"," .04(-.07, .15)"," .25(2.17), $p$=.91  "," .16(1.40), $p$=.91  ","(-2.58,2.91)"," .16( .06, .27)","4.05(4.79), $p$=.40  "," .05( .06), $p$=.40  ","(-.07, .18)"," .05(-.06, .16)"
semantic memory,map,b1,male,aehplus,fev,bnt,321," .04( .04), $p$=.30  "," .07( .08), $p$=.35  ","(-.08, .23)"," .08(-.03, .18)"," .00( .00), $p$=.89  "," .16(1.34), $p$=.90  ","(-2.46,2.78)"," .00(-.11, .11)","-.00( .01), $p$=.53  ","-.04( .06), $p$=.53  ","(-.15, .08)","-.04(-.15, .07)"
semantic memory,octo,b1,male,aehplus,pef,information,138,"40.22(74.88), $p$=.59  "," .06( .12), $p$=.59  ","(-.17, .29)"," .06(-.11, .23)","-.27(1.54), $p$=.86  ","-.07( .39), $p$=.86  ","(-.82, .69)","-.07(-.23, .10)","9.16(14.72), $p$=.53  "," .05( .08), $p$=.53  ","(-.10, .20)"," .05(-.12, .21)"
semantic memory,satsa,b1,male,aehplus,fev,information,299," .35( .27), $p$=.20  "," .11( .08), $p$=.18  ","(-.05, .26)"," .11(-.01, .22)"," .00( .00), $p$=.92  ","-.03( .30), $p$=.93  ","(-.62, .57)",---," .09( .04), $p$=.03 *"," .11( .05), $p$=.03 *","( .01, .20)"," .11(-.01, .22)"
semantic memory,map,b1,male,aehplus,fev,nart,321," .11( .06), $p$=.07 ."," .11( .06), $p$=.07 .","(-.01, .23)"," .11(-.00, .22)"," .00( .00), $p$=.98  ","-.01( .59), $p$=.98  ","(-1.18,1.15)"," .00(-.11, .11)","-.00( .01), $p$=.70  ","-.02( .05), $p$=.70  ","(-.12, .08)","-.02(-.13, .09)"
semantic memory,octo,b1,male,aehplus,pef,synonyms,132,"49.67(58.44), $p$=.40  "," .11( .13), $p$=.38  ","(-.14, .36)"," .11(-.06, .28)"," .14( .67), $p$=.84  "," .10( .48), $p$=.83  ","(-.83,1.04)"," .10(-.07, .27)","6.29(13.70), $p$=.65  "," .05( .10), $p$=.64  ","(-.15, .24)"," .05(-.13, .22)"
semantic memory,satsa,b1,male,aehplus,fev,synonyms,299," .30( .20), $p$=.14  "," .13( .08), $p$=.13  ","(-.04, .29)"," .13( .01, .24)"," .00( .00), $p$=.81  "," .10( .41), $p$=.81  ","(-.71, .91)",---," .03( .03), $p$=.34  "," .04( .05), $p$=.34  ","(-.05, .13)"," .04(-.07, .16)"
semantic memory,eas,b1,male,aehplus,pef,waisvocab,324,"-12.89(116.46), $p$=.91  ","-.01( .13), $p$=.91  ","(-.27, .24)","-.01(-.12, .09)","-7.50(9.32), $p$=.42  ","-.58( .72), $p$=.42  ","(-2.00, .84)","-.58(-.65,-.51)","-6.48(27.33), $p$=.81  ","-.02( .07), $p$=.81  ","(-.15, .12)","-.02(-.13, .09)"
