domain,study,model_number,subgroup,model_type,physical,cognitive,$n$,Cov(Levels),ab_tau_00_est,ab_tau_00_se,ab_tau_00_pval,Corr(Levels)Est,er_tau_00_est,er_tau_00_se,er_tau_00_pval,CI(Levels)Est,er_tau_00_ci95lo,er_tau_00_ci95hi,Corr(Levels)Comp,cr_levels_est,cr_levels_ci95_lo,cr_levels_ci95_hi,Cov(Slopes),Corr(Slopes)Est,er_tau_11_est,er_tau_11_se,er_tau_11_pval,CI(Slopes)Est,er_tau_11_ci95lo,er_tau_11_ci95hi,Corr(Slopes)Comp,cr_slopes_est,cr_slopes_ci95_lo,cr_slopes_ci95_hi,Cov(Residuals),ab_sigma_00_est,ab_sigma_00_se,ab_sigma_00_pval,Corr(Resid)Est,er_sigma_00_est,er_sigma_00_se,er_sigma_00_pval,CI(Resid)Est,er_sigma_00_ci95lo,er_sigma_00_ci95hi,Corr(Residuals)Comp,cr_resid_est,cr_resid_ci95_lo,cr_resid_ci95_hi
fluid reasoning,satsa,b1,male,aehplus,fev,block,299," .62( .25), $p$=.01 *",0.62,0.25,0.013," .20( .08), $p$=.01 **",0.198,0.076,0.009,"( .05, .35)",0.04904000000000003,0.34696," .20( .09, .30)",0.19776337229981952,0.08626825223359585,0.30436604359279285," .00( .00), $p$=.49  "," .14( .21), $p$=.49  ",0.145,0.21,0.49,"(-.27, .56)",-0.26659999999999995,0.5566,---,Inf,NaN,NaN," .01( .05), $p$=.89  ",0.007,0.053,0.892," .01( .05), $p$=.89  ",0.007,0.054,0.892,"(-.10, .11)",-0.09884,0.11284000000000001," .02(-.10, .13)",0.015926664358687313,-0.09768012208711727,0.1291237145577065
fluid reasoning,nas,b1,male,aehplus,fev,fig_copy,1131,"3.30( .99), $p$<.01 ***",3.297,0.991,0.001," .19( .06), $p$<.01 ***",0.19,0.056,0.001,"( .08, .30)",0.08024,0.29976," .19( .13, .25)",0.1896932666596424,0.13287155745733456,0.2452721184031061," .01( .01), $p$=.11  "," .52( .43), $p$=.23  ",0.518,0.432,0.231,"(-.33,1.36)",-0.32872,1.3647200000000002," .52( .47, .56)",0.5170876899950191,0.4730553747573548,0.5585432702494016,"-.60( .20), $p$<.01 **",-0.597,0.196,0.002,"-.09( .03), $p$<.01 **",-0.094,0.03,0.002,"(-.15,-.04)",-0.1528,-0.0352,"-.09(-.15,-.04)",-0.09371976138302562,-0.15118475988947433,-0.035623450129308266
fluid reasoning,octo,b1,male,aehplus,pef,fig_logic,133,"67.17(33.87), $p$=.05 *",67.166,33.869,0.047," .29( .13), $p$=.03 *",0.288,0.132,0.029,"( .03, .55)",0.029279999999999973,0.54672," .29( .12, .44)",0.28824959513215404,0.12411274394276349,0.43703217704605135,"1.08( .60), $p$=.07 ."," .79( .14), $p$<.01 ***",0.787,0.139,0.0,"( .51,1.06)",0.51456,1.05944," .78( .71, .84)",0.7840396262995635,0.708352826244999,0.8419023052910959,"2.25(13.70), $p$=.87  ",2.252,13.703,0.869," .01( .08), $p$=.87  ",0.014,0.085,0.869,"(-.15, .18)",-0.15259999999999999,0.1806," .01(-.16, .18)",0.013955632872633886,-0.15664328338060296,0.18374591285872882
fluid reasoning,map,b1,male,aehplus,fev,matrices,308," .07( .07), $p$=.28  ",0.075,0.069,0.279," .08( .08), $p$=.28  ",0.081,0.076,0.284,"(-.07, .23)",-0.06795999999999998,0.22996," .08(-.03, .19)",0.08140674100125715,-0.030630338085992866,0.1914235983005667," .00( .00), $p$=.45  "," .43( .68), $p$=.52  ",0.433,0.677,0.523,"(-.89,1.76)",-0.89392,1.7599200000000002," .41( .31, .50)",0.4082482904638631,0.3106639825327798,0.4973165419794682,"-.01( .02), $p$=.70  ",-0.006,0.016,0.698,"-.02( .04), $p$=.70  ",-0.016,0.042,0.697,"(-.10, .07)",-0.09832,0.06632,"-.02(-.13, .10)",-0.015842885340883028,-0.12737576462457606,0.0960856492785731
fluid reasoning,lasa,b1,male,aehplus,pef,raven,800,"44.79(11.81), $p$<.01 ***",44.793,11.811,0.0," .18( .05), $p$<.01 ***",0.184,0.046,0.0,"( .09, .27)",0.09384,0.27415999999999996," .18( .12, .25)",0.18429323919799134,0.11646684225704773,0.25040864599130913," .19( .06), $p$<.01 **"," .54( .19), $p$<.01 **",0.544,0.19,0.004,"( .17, .92)",0.17160000000000003,0.9164000000000001," .56( .51, .60)",0.5571208025111773,0.5074006075181345,0.6031437459784681,"3.44(2.98), $p$=.25  ",3.44,2.98,0.248," .03( .03), $p$=.25  ",0.033,0.028,0.247,"(-.02, .09)",-0.021879999999999997,0.08788," .03(-.04, .10)",0.0326215108735231,-0.036775803737049334,0.10170570043878506
fluid reasoning,satsa,b1,male,aehplus,fev,rotate,298,"1.50( .69), $p$=.03 *",1.496,0.691,0.031," .19( .08), $p$=.02 *",0.19,0.084,0.024,"( .03, .35)",0.025359999999999994,0.35464," .19( .08, .30)",0.190457073268235,0.07853582198412065,0.29763700200943677," .00( .00), $p$=.73  "," .14( .38), $p$=.72  ",0.135,0.376,0.72,"(-.60, .87)",-0.6019599999999999,0.87196,---,Inf,NaN,NaN," .06( .15), $p$=.69  ",0.059,0.15,0.695," .02( .05), $p$=.69  ",0.019,0.048,0.695,"(-.08, .11)",-0.07508,0.11308," .02(-.10, .13)",0.018748022500294628,-0.09507526024075773,0.1320874113814148
mental status,octo,b1,male,aehplus,pef,clock,138,"31.30(18.79), $p$=.10 .",31.296,18.787,0.096," .27( .14), $p$=.06 .",0.27,0.142,0.057,"(-.01, .55)",-0.008319999999999939,0.5483199999999999," .27( .11, .42)",0.2696206237192381,0.10735254615843917,0.4178971423386585,"-.17( .56), $p$=.76  ","-.17( .53), $p$=.74  ",-0.173,0.532,0.745,"(-1.22, .87)",-1.2157200000000001,0.86972,"-.17(-.33,-.01)",-0.17246792807665914,-0.33006035139253265,-0.005522243471893284,"3.87(10.84), $p$=.72  ",3.874,10.843,0.721," .04( .11), $p$=.72  ",0.04,0.11,0.719,"(-.18, .26)",-0.17559999999999998,0.2556," .04(-.13, .21)",0.03958257677694968,-0.12837136482216618,0.20532927550049107
mental status,eas,b1,male,aehplus,pef,mmse,324,"25.56(13.13), $p$=.05 .",25.556,13.129,0.052," .31( .16), $p$=.05 *",0.307,0.156,0.049,"( .00, .61)",0.0012400000000000189,0.61276," .31( .20, .40)",0.3070730483872618,0.2049708976320711,0.40256398212822025," .96( .97), $p$=.32  "," .76(1.10), $p$=.49  ",0.755,1.102,0.493,"(-1.40,2.91)",-1.4049200000000002,2.91492," .76( .71, .80)",0.7594267988448591,0.709146548850874,0.8020218660634348,"-2.22(2.75), $p$=.42  ",-2.222,2.745,0.418,"-.05( .06), $p$=.42  ",-0.047,0.058,0.417,"(-.16, .07)",-0.16068,0.06668,"-.05(-.16, .06)",-0.046927302031567183,-0.1550944916085495,0.06235173558622562
mental status,map,b1,male,aehplus,fev,mmse,321," .03( .06), $p$=.63  ",0.03,0.063,0.633," .04( .08), $p$=.66  ",0.037,0.085,0.662,"(-.13, .20)",-0.1296,0.2036," .04(-.07, .15)",0.0370433893288318,-0.07272037924784623,0.14592054744403476,"-.00( .01), $p$=.44  ","-.58( .79), $p$=.46  ",-0.579,0.787,0.462,"(-2.12, .96)",-2.1215200000000003,0.9635200000000002,"-.55(-.62,-.47)",-0.5488212999484519,-0.6209822771755354,-0.4674354025862374," .00( .01), $p$=.72  ",0.005,0.015,0.718," .02( .05), $p$=.72  ",0.018,0.048,0.717,"(-.08, .11)",-0.07608,0.11208," .02(-.09, .13)",0.01658842480044664,-0.09304942545352575,0.12582881050052475
mental status,nas,b1,male,aehplus,fev,mmse,1131," .81( .29), $p$<.01 **",0.815,0.292,0.005," .20( .07), $p$=.01 **",0.199,0.074,0.007,"( .05, .34)",0.05396000000000001,0.34404," .20( .14, .25)",0.1988340773210516,0.14219118209395398,0.2541790087972375,"-.00( .00), $p$=.61  ","-.12( .23), $p$=.61  ",-0.117,0.226,0.606,"(-.56, .33)",-0.55996,0.32596,"-.12(-.18,-.06)",-0.1212678125181665,-0.178298377256338,-0.06342523102858103,"-.05( .06), $p$=.44  ",-0.047,0.061,0.441,"-.02( .03), $p$=.44  ",-0.021,0.028,0.439,"(-.08, .03)",-0.07588,0.033879999999999993,"-.02(-.08, .04)",-0.021418225047094726,-0.0796097557807714,0.0369187901892709
mental status,octo,b1,male,aehplus,pef,mmse,140,"102.71(31.38), $p$<.01 ***",102.713,31.38,0.001," .66( .14), $p$<.01 ***",0.66,0.135,0.0,"( .40, .92)",0.39540000000000003,0.9246000000000001," .66( .56, .74)",0.6603272455241136,0.5552520840240747,0.7446534057874387," .29( .73), $p$=.69  "," .15( .37), $p$=.69  ",0.147,0.369,0.69,"(-.58, .87)",-0.57624,0.87024," .15(-.02, .31)",0.14721783611382813,-0.019153241878265115,0.3056558033243085,"22.58(24.55), $p$=.36  ",22.579,24.547,0.358," .14( .16), $p$=.38  ",0.145,0.164,0.376,"(-.18, .47)",-0.17644,0.46643999999999997," .14(-.02, .30)",0.144969231259182,-0.02144993916877657,0.30357135641294114
