study_name,process_a,process_b,subgroup,model_type,subject_count,parameter_count,wave_count,ll,aic,bic,process,coefficient,subindex,est,pval,se,wald
eas,grip,pef,male,aehplus,72,41,7,-2151.417,4384.834,4478.177,ab,tau,10,56.954,0.578,102.334,0.557
eas,grip,pef,male,aehplus,72,41,7,-2151.417,4384.834,4478.177,ab,tau,11,1.161,0.971,32.159,0.036
eas,grip,pef,male,aehplus,72,41,7,-2151.417,4384.834,4478.177,b,gamma,00,33.71,0.0,5.826,5.786
eas,grip,pef,male,aehplus,72,41,7,-2151.417,4384.834,4478.177,b,gamma,01,-0.529,0.056,0.277,-1.908
eas,grip,pef,male,aehplus,72,41,7,-2151.417,4384.834,4478.177,b,gamma,02,-0.286,0.508,0.431,-0.663
eas,grip,pef,male,aehplus,72,41,7,-2151.417,4384.834,4478.177,b,gamma,03,0.219,0.27,0.198,1.104
eas,grip,pef,male,aehplus,72,41,7,-2151.417,4384.834,4478.177,b,gamma,04,-0.121,0.973,3.61,-0.034
eas,grip,pef,male,aehplus,72,41,7,-2151.417,4384.834,4478.177,b,gamma,05,-0.436,0.906,3.702,-0.118
eas,grip,pef,male,aehplus,72,41,7,-2151.417,4384.834,4478.177,b,gamma,06,-0.436,0.896,3.337,-0.131
eas,grip,pef,male,aehplus,72,41,7,-2151.417,4384.834,4478.177,b,gamma,10,-2.299,0.182,1.722,-1.335
eas,grip,pef,male,aehplus,72,41,7,-2151.417,4384.834,4478.177,b,gamma,11,-0.047,0.604,0.091,-0.518
eas,grip,pef,male,aehplus,72,41,7,-2151.417,4384.834,4478.177,b,gamma,12,0.04,0.73,0.117,0.345
eas,grip,pef,male,aehplus,72,41,7,-2151.417,4384.834,4478.177,b,gamma,13,-0.006,0.937,0.073,-0.079
eas,grip,pef,male,aehplus,72,41,7,-2151.417,4384.834,4478.177,b,gamma,14,0.364,0.74,1.099,0.332
eas,grip,pef,male,aehplus,72,41,7,-2151.417,4384.834,4478.177,b,gamma,15,0.818,0.408,0.989,0.827
eas,grip,pef,male,aehplus,72,41,7,-2151.417,4384.834,4478.177,b,gamma,16,-0.421,0.663,0.967,-0.435
eas,grip,pef,male,aehplus,72,41,7,-2151.417,4384.834,4478.177,b,sigma,00,17.707,0.0,3.447,5.137
eas,grip,pef,male,aehplus,72,41,7,-2151.417,4384.834,4478.177,bb,tau,00,26.603,0.169,19.348,1.375
eas,grip,pef,male,aehplus,72,41,7,-2151.417,4384.834,4478.177,bb,tau,10,-2.256,0.536,3.645,-0.619
eas,grip,pef,male,aehplus,72,41,7,-2151.417,4384.834,4478.177,bb,tau,11,0.626,0.631,1.302,0.481
eas,grip,pef,male,aehplus,72,41,7,-2151.417,4384.834,4478.177,er,sigma,00,0.24,0.147,0.166,1.449
eas,grip,pef,male,aehplus,72,41,7,-2151.417,4384.834,4478.177,er,tau,00,0.044,0.923,0.451,0.097
eas,grip,pef,male,aehplus,72,41,7,-2151.417,4384.834,4478.177,er,tau,11,0.082,0.97,2.217,0.037
eas,pef,gait,female,aehplus,150,41,7,-3904.164,7890.329,8013.765,a,gamma,00,345.141,0.0,25.008,13.801
eas,pef,gait,female,aehplus,150,41,7,-3904.164,7890.329,8013.765,a,gamma,01,-4.331,0.009,1.669,-2.595
eas,pef,gait,female,aehplus,150,41,7,-3904.164,7890.329,8013.765,a,gamma,02,-2.119,0.406,2.548,-0.832
eas,pef,gait,female,aehplus,150,41,7,-3904.164,7890.329,8013.765,a,gamma,03,0.412,0.746,1.27,0.324
