software,version,date,time,output_file,data_file,file_path,study_name,model_number,subgroup,model_type,subject_count,wave_count,datapoint_count,parameter_count,ll,aic,bic,adj_bic,aaic,has_converged,trust_all,mistrust,covar_covered,ab_tau_00_est,ab_tau_00_se,ab_tau_00_wald,ab_tau_00_pval,ab_tau_11_est,ab_tau_11_se,ab_tau_11_wald,ab_tau_11_pval,ab_tau_01_est,ab_tau_01_se,ab_tau_01_wald,ab_tau_01_pval,ab_tau_10_est,ab_tau_10_se,ab_tau_10_wald,ab_tau_10_pval,ab_sigma_00_est,ab_sigma_00_se,ab_sigma_00_wald,ab_sigma_00_pval,aa_tau_00_est,aa_tau_00_se,aa_tau_00_wald,aa_tau_00_pval,aa_tau_11_est,aa_tau_11_se,aa_tau_11_wald,aa_tau_11_pval,aa_tau_01_est,aa_tau_01_se,aa_tau_01_wald,aa_tau_01_pval,a_sigma_00_est,a_sigma_00_se,a_sigma_00_wald,a_sigma_00_pval,bb_tau_00_est,bb_tau_00_se,bb_tau_00_wald,bb_tau_00_pval,bb_tau_11_est,bb_tau_11_se,bb_tau_11_wald,bb_tau_11_pval,bb_tau_10_est,bb_tau_10_se,bb_tau_10_wald,bb_tau_10_pval,b_sigma_00_est,b_sigma_00_se,b_sigma_00_wald,b_sigma_00_pval,a_gamma_00_est,a_gamma_00_se,a_gamma_00_wald,a_gamma_00_pval,a_gamma_10_est,a_gamma_10_se,a_gamma_10_wald,a_gamma_10_pval,b_gamma_00_est,b_gamma_00_se,b_gamma_00_wald,b_gamma_00_pval,b_gamma_10_est,b_gamma_10_se,b_gamma_10_wald,b_gamma_10_pval,er_tau_00_est,er_tau_00_se,er_tau_00_wald,er_tau_00_pval,er_tau_11_est,er_tau_11_se,er_tau_11_wald,er_tau_11_pval,er_sigma_00_est,er_sigma_00_se,er_sigma_00_wald,er_sigma_00_pval,a_gamma_01_est,a_gamma_01_se,a_gamma_01_wald,a_gamma_01_pval,a_gamma_11_est,a_gamma_11_se,a_gamma_11_wald,a_gamma_11_pval,b_gamma_01_est,b_gamma_01_se,b_gamma_01_wald,b_gamma_01_pval,b_gamma_11_est,b_gamma_11_se,b_gamma_11_wald,b_gamma_11_pval,a_gamma_02_est,a_gamma_02_se,a_gamma_02_wald,a_gamma_02_pval,a_gamma_12_est,a_gamma_12_se,a_gamma_12_wald,a_gamma_12_pval,b_gamma_02_est,b_gamma_02_se,b_gamma_02_wald,b_gamma_02_pval,b_gamma_12_est,b_gamma_12_se,b_gamma_12_wald,b_gamma_12_pval,a_gamma_03_est,a_gamma_03_se,a_gamma_03_wald,a_gamma_03_pval,a_gamma_13_est,a_gamma_13_se,a_gamma_13_wald,a_gamma_13_pval,b_gamma_03_est,b_gamma_03_se,b_gamma_03_wald,b_gamma_03_pval,b_gamma_13_est,b_gamma_13_se,b_gamma_13_wald,b_gamma_13_pval,a_gamma_04_est,a_gamma_04_se,a_gamma_04_wald,a_gamma_04_pval,a_gamma_14_est,a_gamma_14_se,a_gamma_14_wald,a_gamma_14_pval,b_gamma_04_est,b_gamma_04_se,b_gamma_04_wald,b_gamma_04_pval,b_gamma_14_est,b_gamma_14_se,b_gamma_14_wald,b_gamma_14_pval,a_gamma_05_est,a_gamma_05_se,a_gamma_05_wald,a_gamma_05_pval,a_gamma_15_est,a_gamma_15_se,a_gamma_15_wald,a_gamma_15_pval,b_gamma_05_est,b_gamma_05_se,b_gamma_05_wald,b_gamma_05_pval,b_gamma_15_est,b_gamma_15_se,b_gamma_15_wald,b_gamma_15_pval,a_gamma_06_est,a_gamma_06_se,a_gamma_06_wald,a_gamma_06_pval,a_gamma_16_est,a_gamma_16_se,a_gamma_16_wald,a_gamma_16_pval,b_gamma_06_est,b_gamma_06_se,b_gamma_06_wald,b_gamma_06_pval,b_gamma_16_est,b_gamma_16_se,b_gamma_16_wald,b_gamma_16_pval,process_a,process_b,process_b_cell,process_b_row,process_b_domain,outcome_count,cr_levels_est,cr_levels_z,cr_levels_ztest,cr_levels_zpval,cr_levels_zeta_lo,cr_levels_zeta_hi,cr_levels_ci95_lo,cr_levels_ci95_hi,cr_slopes_est,cr_slopes_z,cr_slopes_ztest,cr_slopes_zpval,cr_slopes_zeta_lo,cr_slopes_zeta_hi,cr_slopes_ci95_lo,cr_slopes_ci95_hi,cr_resid_est,cr_resid_z,cr_resid_ztest,cr_resid_zpval,cr_resid_zeta_lo,cr_resid_zeta_hi,cr_resid_ci95_lo,cr_resid_ci95_hi
Mplus VERSION 7.3,0.1,10/21/2015,10:26 PM,b1_female_aehplus_fev_grip.out,NA,C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/map/physical/b1_female_aehplus_fev_grip.out,map,b1,female,aehplus,931,5,NA,37,-9002.371,18078.742,18257.684,18140.175,18081.8909361702,TRUE,TRUE,NA,0,0.409,0.134,3.054,0.002,0.003,0.006,0.435,0.663,0.017,0.03,0.574,0.566,0.034,0.036,0.942,0.346,0.015,0.024,0.625,0.532,0.108,0.008,14.336,0.0,0.0,0.001,0.623,0.533,0.0,0.001,0.002,0.998,0.027,0.005,5.683,0,94.397,5.94,15.891,0.0,0.719,0.326,2.206,0.027,-1.588,1.085,-1.464,0.143,19.672,1.067,18.437,0.0,1.678,0.034,48.789,0.0,-0.038,0.009,-4.13,0.0,43.836,1.257,34.883,0.0,-0.319,0.311,-1.023,0.306,0.128,0.041,3.093,0.002,0.161,0.369,0.436,0.663,0.021,0.033,0.625,0.532,-0.024,0.002,-15.035,0.0,0.001,0.0,1.8,0.072,-0.608,0.049,-12.29,0.0,-0.02,0.012,-1.676,0.094,0.012,0.004,3.465,0.001,0.0,0.001,-0.078,0.938,0.393,0.13,3.027,0.002,-0.079,0.032,-2.445,0.014,1.629,0.216,7.559,0.0,-0.067,0.041,-1.657,0.098,38.991,4.195,9.294,0.0,-1.252,1.162,-1.078,0.281,-0.09,0.023,-3.909,0.0,0.002,0.005,0.346,0.73,0.419,0.677,0.619,0.536,0.039,0.17,0.23,0.818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.022,0.039,-0.567,0.571,-0.009,0.01,-0.839,0.401,0.029,1.233,0.024,0.981,-0.324,0.288,-1.122,0.262,fev,grip,grip,grip,grip,2,0.12809504603022387,0.12880263447307702,3.923726558337918,0.89751382088884,0.06446366463720632,0.19314160430894772,0.0643745185192884,0.19077527632014338,Inf,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.02058188366510734,0.020584790661587415,0.6270763804414239,0.5306091689214909,-0.043754179174283286,0.08492376049745812,-0.0437262791277196,0.08472018974503587
Mplus VERSION 7.3,0.1,10/21/2015,10:21 PM,b1_female_aehplus_gait_grip.out,NA,C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/map/physical/b1_female_aehplus_gait_grip.out,map,b1,female,aehplus,931,5,NA,41,-7766.863,15615.726,15814.012,15683.8,15619.600015748,TRUE,TRUE,NA,0,0.414,0.069,5.989,0.0,-0.01,0.007,-1.368,0.171,0.017,0.019,0.88,0.379,0.064,0.024,2.655,0.008,-0.004,0.018,-0.236,0.814,0.02,0.002,11.512,0.0,0.001,0.0,3.098,0.002,-0.001,0.001,-1.533,0.125,0.018,0.001,19.88,0,94.521,5.945,15.9,0.0,0.745,0.33,2.258,0.024,-1.644,1.085,-1.516,0.13,19.633,1.066,18.418,0.0,0.621,0.019,32.806,0.0,0.006,0.007,0.944,0.345,43.831,1.255,34.92,0.0,-0.345,0.311,-1.107,0.268,0.303,0.049,6.243,0.0,-0.455,0.313,-1.453,0.146,-0.007,0.03,-0.235,0.814,-0.007,0.001,-7.854,0.0,-0.001,0.0,-3.114,0.002,-0.61,0.05,-12.279,0.0,-0.019,0.012,-1.547,0.122,0.012,0.002,5.672,0.0,-0.002,0.001,-2.532,0.011,0.396,0.13,3.053,0.002,-0.082,0.033,-2.528,0.011,0.229,0.087,2.651,0.008,-0.013,0.03,-0.415,0.678,39.137,4.196,9.326,0.0,-1.216,1.185,-1.026,0.305,-0.015,0.011,-1.313,0.189,-0.003,0.004,-0.915,0.36,0.394,0.672,0.586,0.558,0.033,0.17,0.192,0.848,-0.004,0.022,-0.191,0.848,-0.005,0.007,-0.735,0.462,0.528,1.408,0.375,0.708,0.069,0.287,0.241,0.81,-0.068,0.019,-3.592,0.0,0.005,0.007,0.729,0.466,-0.013,1.232,-0.01,0.992,-0.316,0.289,-1.093,0.274,gait,grip,grip,grip,grip,2,0.30110723402481354,0.3107367897903718,9.466003546752,0.7560007265962583,0.24639781995450108,0.3750757596262425,0.241529584347393,0.3584234271311928,-0.3663716527236559,-0.38422574867134973,-11.704704493246762,1.2057857279885022e-31,-0.44856471850722046,-0.319886778835479,-0.4207184880541782,-0.3094045424296482,-0.0067286882223617514,-0.006728789772790097,-0.20497974474650776,0.8375879503645067,-0.0710677596086608,0.05761018006308061,-0.0709483552606196,0.05754652978916351
Mplus VERSION 7.3,0.1,10/21/2015,10:22 PM,b1_male_aehplus_fev_gait.out,NA,C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/map/physical/b1_male_aehplus_fev_gait.out,map,b1,male,aehplus,309,5,NA,41,-30.871,143.743,296.81,166.774,156.641876404494,TRUE,TRUE,NA,0,0.017,0.006,2.754,0.006,0.0,0.0,-0.864,0.388,0.006,0.002,2.617,0.009,0.0,0.001,-0.061,0.952,0.0,0.001,-0.129,0.897,0.263,0.024,10.772,0.0,0.002,0.001,1.191,0.234,-0.006,0.004,-1.398,0.162,0.045,0.006,7.73,0,0.019,0.003,6.007,0.0,0.0,0.0,1.171,0.241,0.0,0.001,-0.344,0.731,0.023,0.002,11.139,0.0,2.387,0.11,21.789,0.0,-0.087,0.024,-3.604,0.0,0.666,0.036,18.3,0.0,0.01,0.013,0.781,0.435,0.246,0.085,2.886,0.004,-0.463,0.619,-0.748,0.454,-0.006,0.046,-0.129,0.897,-0.027,0.004,-6.057,0.0,0.0,0.001,-0.371,0.711,-0.007,0.002,-4.489,0.0,-0.001,0.001,-1.429,0.153,0.021,0.009,2.365,0.018,0.0,0.002,0.166,0.868,0.011,0.003,3.24,0.001,-0.002,0.001,-1.58,0.114,1.637,0.451,3.629,0.0,0.109,0.128,0.851,0.395,0.137,0.153,0.897,0.369,0.0,0.057,0.006,0.995,-0.2,0.062,-3.249,0.001,0.035,0.014,2.596,0.009,-0.015,0.019,-0.789,0.43,-0.005,0.007,-0.696,0.486,-0.106,0.094,-1.135,0.257,-0.019,0.017,-1.125,0.261,-0.003,0.034,-0.078,0.938,-0.019,0.012,-1.59,0.112,-0.234,0.082,-2.868,0.004,0.038,0.018,2.068,0.039,-0.035,0.025,-1.373,0.17,0.009,0.011,0.896,0.37,fev,gait,gait,gait,gait,2,0.24048846296754509,0.2452924952801823,4.290866220435932,0.8062299621861921,0.13324881185388454,0.35733617870648005,0.1324657509545372,0.3428655135785911,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,1.0,-0.11204368342629775,0.11204368342629775,-0.11157716838652679,0.11157716838652679
Mplus VERSION 7.3,0.1,10/21/2015,10:23 PM,b1_male_aehplus_fev_grip.out,NA,C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/map/physical/b1_male_aehplus_fev_grip.out,map,b1,male,aehplus,309,5,NA,41,-3549.78,7181.561,7334.628,7204.592,7194.45987640449,TRUE,TRUE,NA,0,1.792,0.502,3.566,0.0,-0.003,0.028,-0.114,0.909,0.097,0.132,0.737,0.461,0.041,0.103,0.395,0.693,-0.017,0.059,-0.285,0.776,0.26,0.024,10.835,0.0,0.001,0.001,1.049,0.294,-0.005,0.004,-1.308,0.191,0.045,0.006,7.702,0,203.356,19.149,10.62,0.0,3.462,1.488,2.327,0.02,-6.475,3.302,-1.961,0.05,32.547,3.05,10.67,0.0,2.387,0.11,21.779,0.0,-0.088,0.025,-3.59,0.0,79.85,2.884,27.689,0.0,-2.475,0.921,-2.687,0.007,0.246,0.065,3.799,0.0,-0.044,0.399,-0.111,0.911,-0.014,0.048,-0.286,0.775,-0.027,0.004,-6.069,0.0,0.0,0.001,-0.269,0.788,-1.05,0.127,-8.235,0.0,-0.038,0.04,-0.968,0.333,0.02,0.009,2.294,0.022,0.001,0.002,0.286,0.775,0.03,0.26,0.115,0.908,0.096,0.069,1.404,0.16,1.67,0.451,3.702,0.0,0.113,0.132,0.86,0.39,80.607,11.316,7.123,0.0,-2.884,3.59,-0.803,0.422,-0.203,0.062,-3.298,0.001,0.037,0.013,2.762,0.006,0.39,1.754,0.223,0.824,-0.091,0.465,-0.195,0.845,-0.105,0.094,-1.125,0.261,-0.02,0.016,-1.202,0.229,-5.58,2.752,-2.027,0.043,0.842,0.662,1.271,0.204,-0.223,0.081,-2.743,0.006,0.033,0.018,1.816,0.069,-6.449,2.282,-2.826,0.005,1.285,0.52,2.468,0.014,fev,grip,grip,grip,grip,2,0.2464466028380009,0.2516260916524855,4.401658907740733,0.8013300891639528,0.13958240822618775,0.3636697750787833,0.13868291136754143,0.34844236776993115,-0.05098679612948232,-0.05103104783910406,-0.8926787552800949,0.3720292305183801,-0.1630747312654018,0.06101263558719369,-0.16164437575034057,0.06093704078702402,-0.014047116443919878,-0.01404804048592632,-0.2457403448708267,0.8058832389317502,-0.12609172391222406,0.09799564294037143,-0.12542769729983885,0.09768315441136871
Mplus VERSION 7.3,0.1,10/21/2015,10:24 PM,b1_male_aehplus_gait_grip.out,NA,C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/map/physical/b1_male_aehplus_gait_grip.out,map,b1,male,aehplus,309,5,NA,41,-2966.364,6014.729,6167.796,6037.76,6027.62787640449,TRUE,TRUE,NA,0,0.599,0.168,3.578,0.0,0.015,0.013,1.141,0.254,-0.008,0.036,-0.238,0.812,0.095,0.062,1.518,0.129,0.005,0.052,0.102,0.919,0.019,0.003,6.099,0.0,0.0,0.0,1.125,0.26,0.0,0.001,-0.165,0.869,0.023,0.002,11.368,0,203.96,19.165,10.642,0.0,3.447,1.449,2.378,0.017,-6.606,3.246,-2.035,0.042,32.5,3.022,10.756,0.0,0.662,0.036,18.217,0.0,0.002,0.013,0.129,0.897,79.802,2.882,27.686,0.0,-2.48,0.914,-2.715,0.007,0.305,0.081,3.783,0.0,0.398,0.34,1.172,0.241,0.006,0.06,0.102,0.919,-0.007,0.002,-4.401,0.0,-0.001,0.001,-0.907,0.364,-1.048,0.127,-8.233,0.0,-0.037,0.04,-0.937,0.349,0.011,0.003,3.322,0.001,-0.002,0.001,-1.468,0.142,0.03,0.261,0.116,0.907,0.093,0.067,1.405,0.16,0.148,0.155,0.955,0.34,0.046,0.054,0.858,0.391,80.707,11.313,7.134,0.0,-2.611,3.578,-0.73,0.466,-0.015,0.019,-0.801,0.423,-0.003,0.007,-0.357,0.721,0.402,1.755,0.229,0.819,-0.109,0.467,-0.234,0.815,-0.005,0.034,-0.148,0.882,-0.013,0.011,-1.142,0.253,-5.568,2.751,-2.024,0.043,0.867,0.662,1.31,0.19,-0.037,0.025,-1.456,0.145,-0.001,0.01,-0.116,0.907,-6.396,2.288,-2.795,0.005,1.175,0.508,2.31,0.021,gait,grip,grip,grip,grip,2,0.30428288148460647,0.31423275690633123,5.496828267916304,0.753344265365726,0.20218907348003348,0.426276440332629,0.19947820198287075,0.4022047862037353,Inf,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.005783149319662402,0.005783213793077923,0.10116492427512958,0.919419540204135,-0.10626046963321983,0.11782689721937567,-0.10586232857907817,0.1172846377499441
Mplus VERSION 5.1,0.1,09/01/2015,12:28 PM,b1_female_aehplus_grip_gait.out, f:\IALSA\IALSA_retour.dat,C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/nuage/physical/b1_female_aehplus_grip_gait.out,nuage,b1,female,aehplus,934,4,NA,NA,-15587.387,31264.774,31482.55,31339.634,NA,TRUE,TRUE,NA,0,-1.754,0.396,-4.432,0.0,-0.037,0.041,-0.901,0.367,-0.409,0.168,-2.44,0.015,-0.079,0.115,-0.687,0.492,-0.134,0.093,-1.433,0.152,176.11,10.891,16.171,0.0,2.674,0.883,3.03,0.002,-2.234,2.037,-1.097,0.273,37.887,2.671,14.185,0,0.516,0.087,5.938,0.0,0.048,0.015,3.22,0.001,0.041,0.025,1.639,0.101,0.275,0.023,11.844,0.0,60.561,1.122,53.98,0.0,-2.198,0.284,-7.731,0.0,3.948,0.06,66.241,0.0,0.018,0.025,0.718,0.473,-0.184,0.042,-4.427,0.0,-0.104,0.116,-0.898,0.369,-0.041,0.029,-1.443,0.149,-0.94,0.113,-8.313,0.0,0.016,0.029,0.575,0.565,0.055,0.007,8.303,0.0,0.014,0.003,4.549,0.0,0.008,0.132,0.064,0.949,-0.016,0.034,-0.465,0.642,-0.018,0.008,-2.17,0.03,0.002,0.003,0.555,0.579,-10.97,8.002,-1.371,0.17,-0.987,2.011,-0.49,0.624,-2.614,0.472,-5.535,0.0,0.093,0.217,0.426,0.67,1.219,1.005,1.213,0.225,0.479,0.247,1.942,0.052,-0.075,0.058,-1.307,0.191,0.012,0.027,0.453,0.65,2.842,1.278,2.223,0.026,-0.534,0.309,-1.728,0.084,0.112,0.079,1.422,0.155,0.065,0.034,1.907,0.057,0.024,1.878,0.013,0.99,-0.473,0.491,-0.962,0.336,0.144,0.109,1.32,0.187,0.004,0.033,0.115,0.909,grip,gait,gait,gait,gait,2,-0.18399784209192147,-0.18611749671449337,-5.67887151862268,0.8523526212428731,-0.25035272183922574,-0.12188227158976099,-0.2452501975156219,-0.12128230432498795,-0.10327623662831012,-0.103645785280637,-3.162470527735485,0.001564365698064232,-0.1678810104053694,-0.03941056015590462,-0.1663214024500791,-0.03939016876561957,-0.04151388161045618,-0.04153775467499497,-1.267412124789211,0.20500796662843704,-0.10577297979972736,0.02269747044973741,-0.10538027712359835,0.02269357352841432
Mplus VERSION 5.1,0.1,09/01/2015,12:23 PM,b1_female_aehplus_grip_tug.out, f:\IALSA\IALSA_retour.dat,C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/nuage/physical/b1_female_aehplus_grip_tug.out,nuage,b1,female,aehplus,934,4,NA,NA,-18531.496,37152.993,37370.769,37227.853,NA,TRUE,TRUE,NA,0,-7.368,1.161,-6.345,0.0,-0.173,0.118,-1.469,0.142,-0.387,0.384,-1.006,0.315,-0.42,0.327,-1.286,0.198,-0.101,0.238,-0.424,0.672,176.038,10.891,16.163,0.0,2.696,0.885,3.045,0.002,-2.188,2.035,-1.075,0.282,37.912,2.674,14.177,0,4.18,0.663,6.305,0.0,0.164,0.063,2.631,0.009,0.286,0.185,1.549,0.121,1.779,0.204,8.734,0.0,60.567,1.122,53.98,0.0,-2.2,0.285,-7.73,0.0,9.75,0.168,57.934,0.0,0.113,0.056,2.008,0.045,-0.272,0.042,-6.523,0.0,-0.26,0.17,-1.525,0.127,-0.012,0.029,-0.425,0.671,-0.941,0.113,-8.324,0.0,0.014,0.029,0.494,0.621,0.173,0.019,8.871,0.0,0.039,0.007,5.608,0.0,0.009,0.132,0.066,0.947,-0.015,0.034,-0.432,0.666,0.003,0.021,0.144,0.886,0.008,0.007,1.102,0.27,-10.912,8.001,-1.364,0.173,-0.994,2.009,-0.495,0.621,-3.389,1.289,-2.629,0.009,0.357,0.485,0.737,0.461,1.211,1.005,1.206,0.228,0.485,0.246,1.969,0.049,-0.139,0.158,-0.878,0.38,-0.03,0.056,-0.549,0.583,2.853,1.278,2.233,0.026,-0.511,0.309,-1.656,0.098,0.217,0.206,1.05,0.294,0.117,0.081,1.445,0.148,0.033,1.877,0.017,0.986,-0.481,0.49,-0.981,0.326,0.469,0.293,1.601,0.109,0.098,0.1,0.985,0.325,grip,tug,tug,tug,gait,2,-0.27161782258841866,-0.2786096826970913,-8.501020160979875,0.7805443811237367,-0.3428449078218237,-0.2143744575723589,-0.3300148397689145,-0.21114976276594674,-0.2601742043932979,-0.2662952503507598,-8.125278597966782,4.463360150559315e-16,-0.3305304754754922,-0.2020600252260274,-0.3189973521610327,-0.1993542855701048,-0.012298299123408962,-0.012298919211392197,-0.3752682217006068,0.7074609974774162,-0.07653414433612458,0.05193630591334018,-0.07638506134097507,0.05188965892715287
Mplus VERSION 5.1,0.1,09/01/2015,12:27 PM,b1_male_aehplus_grip_gait.out, f:\IALSA\IALSA_retour.dat,C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/nuage/physical/b1_male_aehplus_grip_gait.out,nuage,b1,male,aehplus,847,4,NA,NA,-14808.451,29706.903,29920.279,29777.373,NA,TRUE,TRUE,NA,0,-1.868,0.727,-2.571,0.01,-0.069,0.043,-1.601,0.109,-0.687,0.452,-1.519,0.129,-0.166,0.145,-1.146,0.252,-0.23,0.099,-2.328,0.02,201.08,13.545,14.845,0.0,1.842,0.882,2.088,0.037,-2.497,2.298,-1.087,0.277,36.179,2.491,14.525,0,0.433,0.223,1.941,0.052,0.043,0.071,0.599,0.549,0.131,0.078,1.677,0.094,0.524,0.208,2.516,0.012,80.722,1.368,58.986,0.0,-2.336,0.291,-8.03,0.0,3.824,0.083,46.037,0.0,-0.037,0.027,-1.355,0.175,-0.2,0.056,-3.567,0.0,-0.245,0.283,-0.867,0.386,-0.053,0.025,-2.092,0.036,-1.389,0.127,-10.965,0.0,-0.028,0.028,-0.998,0.318,0.042,0.009,4.859,0.0,0.018,0.005,3.365,0.001,0.126,0.115,1.1,0.271,-0.001,0.024,-0.043,0.965,-0.016,0.005,-3.053,0.002,0.0,0.003,0.129,0.898,59.477,7.297,8.151,0.0,-0.541,1.655,-0.327,0.744,-1.272,0.442,-2.879,0.004,-0.016,0.17,-0.095,0.924,0.269,1.118,0.24,0.81,-0.132,0.249,-0.532,0.595,0.05,0.057,0.879,0.379,0.061,0.026,2.338,0.019,1.383,1.219,1.135,0.256,0.025,0.252,0.099,0.921,0.096,0.08,1.19,0.234,-0.002,0.03,-0.056,0.956,-3.016,1.778,-1.696,0.09,-0.354,0.389,-0.909,0.363,0.318,0.1,3.169,0.002,-0.028,0.038,-0.744,0.457,grip,gait,gait,gait,gait,2,-0.20019281454760884,-0.20293341061222284,-5.895556119353493,0.8391870796787532,-0.27039815320947447,-0.1354686680149712,-0.2639952789060175,-0.13464601021348768,-0.24517153718418083,-0.25026902920616834,-7.270735273062103,3.5753600613690953e-13,-0.31773377180341994,-0.18280428660891673,-0.3074563505035588,-0.18079486050384988,-0.05282431976359452,-0.052873536004811234,-1.5360649476328618,0.12452245213111335,-0.12033827860206285,0.014591206592440384,-0.11976073882585794,0.01459017117522518
Mplus VERSION 5.1,0.1,09/01/2015,12:24 PM,b1_male_aehplus_grip_tug.out, f:\IALSA\IALSA_retour.dat,C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/nuage/physical/b1_male_aehplus_grip_tug.out,nuage,b1,male,aehplus,847,4,NA,NA,-16992.737,34075.474,34288.851,34145.945,NA,TRUE,TRUE,NA,0,-5.71,1.35,-4.23,0.0,-0.203,0.105,-1.925,0.054,-1.208,0.434,-2.785,0.005,-0.158,0.255,-0.619,0.536,-0.359,0.196,-1.833,0.067,201.231,13.568,14.831,0.0,1.811,0.883,2.052,0.04,-2.52,2.289,-1.101,0.271,36.201,2.492,14.524,0,2.567,0.648,3.959,0.0,0.4,0.274,1.461,0.144,0.632,0.349,1.808,0.071,2.011,0.649,3.099,0.002,80.732,1.369,58.959,0.0,-2.35,0.29,-8.09,0.0,9.687,0.189,51.3,0.0,0.098,0.057,1.703,0.089,-0.251,0.049,-5.127,0.0,-0.238,0.119,-1.997,0.046,-0.042,0.022,-1.944,0.052,-1.391,0.127,-10.968,0.0,-0.028,0.028,-0.995,0.32,0.139,0.019,7.417,0.0,0.048,0.012,3.887,0.0,0.125,0.115,1.095,0.274,-0.001,0.024,-0.036,0.972,-0.015,0.014,-1.042,0.298,-0.001,0.008,-0.189,0.85,59.554,7.299,8.159,0.0,-0.567,1.653,-0.343,0.731,-1.012,1.185,-0.854,0.393,0.499,0.479,1.041,0.298,0.263,1.119,0.235,0.814,-0.123,0.249,-0.495,0.621,-0.044,0.145,-0.305,0.761,0.086,0.065,1.326,0.185,1.38,1.22,1.131,0.258,0.034,0.252,0.137,0.891,0.029,0.178,0.165,0.869,-0.157,0.077,-2.049,0.04,-3.017,1.779,-1.696,0.09,-0.344,0.388,-0.885,0.376,0.877,0.234,3.747,0.0,0.178,0.174,1.022,0.307,grip,tug,tug,tug,gait,2,-0.25123244863487104,-0.25672785671138354,-7.458375050599685,0.7973888655553563,-0.32419259930863514,-0.18926311411413194,-0.31329295733335755,-0.18703519596835153,-0.2385101233950029,-0.24319377229178807,-7.065187186762605,1.603996263182258e-12,-0.31065851488903967,-0.17572902969453646,-0.3010360542842444,-0.17394221961931264,-0.042075388002139065,-0.04210024363248921,-1.223082725633968,0.22129845242922216,-0.10956498622974083,0.025364498964762408,-0.10912865748233438,0.025359060881395404
Mplus VERSION 7.31,0.1,10/07/2016,11:32 AM,b1_female_aehplus_grip_gait.out, octomult_151015.dat,C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/octo/physical/b1_female_aehplus_grip_gait.out,octo,b1,female,aehplus,270,5,NA,41,-4127.848,8337.696,8485.231,8355.233,8352.80126315789,TRUE,TRUE,NA,0,-2.079,0.951,-2.186,0.029,-0.006,0.052,-0.11,0.913,-0.341,0.351,-0.971,0.332,0.128,0.16,0.799,0.424,-0.171,0.253,-0.675,0.5,3.195,0.395,8.081,0.0,0.018,0.008,2.197,0.028,-0.037,0.052,-0.709,0.479,1.264,0.063,20.182,0,12.367,2.765,4.473,0.0,0.964,0.204,4.731,0.0,3.178,0.47,6.765,0.0,11.25,0.573,19.63,0.0,9.179,0.286,32.099,0.0,-0.332,0.035,-9.595,0.0,10.286,0.966,10.648,0.0,0.534,0.323,1.651,0.099,-0.331,0.141,-2.352,0.019,-0.043,0.398,-0.109,0.913,-0.045,0.067,-0.678,0.498,-0.154,0.056,-2.768,0.006,-0.004,0.008,-0.414,0.679,0.321,0.175,1.838,0.066,-0.005,0.069,-0.073,0.942,0.171,0.082,2.083,0.037,-0.009,0.012,-0.746,0.455,-0.315,0.306,-1.031,0.303,-0.031,0.112,-0.28,0.78,0.092,0.025,3.72,0.0,-0.002,0.004,-0.592,0.554,-0.044,0.084,-0.526,0.599,0.009,0.034,0.253,0.8,-0.515,0.373,-1.381,0.167,0.011,0.059,0.184,0.854,0.036,0.992,0.037,0.971,0.07,0.449,0.156,0.876,-0.162,0.284,-0.572,0.567,0.0,0.041,0.003,0.998,0.715,0.859,0.833,0.405,-0.18,0.351,-0.512,0.609,-0.015,0.55,-0.027,0.978,-0.05,0.071,-0.703,0.482,1.696,1.706,0.994,0.32,1.086,0.464,2.339,0.019,grip,gait,gait,gait,gait,2,-0.33074011851780744,-0.343659049613205,-5.615435140373424,0.7311027110971979,-0.4636068975298232,-0.22371120169658673,-0.4330193663894965,-0.2200524255538251,-0.04554875186742769,-0.045580290965435165,-0.7447880912312078,0.45639983522028466,-0.16552813888205342,0.07436755695118308,-0.1640327265513238,0.07423076214018695,-0.045346765198016614,-0.04537788622859816,-0.7414807705798477,0.458401986901347,-0.1653257341452164,0.07456996168802009,-0.1638357613284277,0.07443204855821062
